English,Kana,Kanji,Help Text,Source,Section
The general manager is in the meeting room.,ぶちょうは かいぎしつに います。,,,UDEMY_N5,3
Excuse me,しつれいします。,,,UDEMY_N5,3
Well / umm,あのう。,,,UDEMY_N5,3
Excuse me / pardon me / I'm sorry / Thank you,すみません。,,,UDEMY_N5,3
You're welcome,どういたしまして。,,,UDEMY_N5,3
Where is the meeting room?,かいぎしつは どこですか,,,UDEMY_N5,3
Where is the restroom?,おてあらいは どちらですか,,,UDEMY_N5,3
Where is the general manager?,ぶちょうは どちらに いますか,,,UDEMY_N5,3
The overseas department is on the third floor,かいがいぶは ３がいです。,,,UDEMY_N5,3
The manager’s room is over there,ぶちょうのへやは あそこです。,,,UDEMY_N5,3
The reception desk is on the first floor,うけつけは いっかいです。,,,UDEMY_N5,3
There is a vending machine.,じどうはんばいきが あります。,,,UDEMY_N5,3
There is a flower.,はなが あります。,,,UDEMY_N5,3
There is Mr. Yamada.,やまださんが います。,,,UDEMY_N5,3
There is a cat.,ねこが います。,,,UDEMY_N5,3
There is a chair and a desk over there.,あそこに いすとつくえが あります。,,,UDEMY_N5,3
There is a restroom next to the elevator,エレベーターのとなりにトイレが あります。,,,UDEMY_N5,3
Who is in the meeting room?,かいぎしつに だれが いますか。,,,UDEMY_N5,3
The manager is in the meeting room,かいぎしつに ぶちょうが います。,,,UDEMY_N5,3
That picture is on Mr. Ando's desk.,あのしゃしんは あんどうさんの つくえの うえに あります。,,,UDEMY_N5,3
The vending machine is next to the reception desk.,じどうはんばいきは うけつけのとなりに あります。,,,UDEMY_N5,3
Where is the company president?,しゃちょうは どこに いますか。,,,UDEMY_N5,3
The company president is in that room,しゃちょうは あのへやに います。,,,UDEMY_N5,3
100,ひゃく,,,UDEMY_N5,3
200,にひゃく,,,UDEMY_N5,3
300,さんびゃく,,,UDEMY_N5,3
400,よんひゃく,,,UDEMY_N5,3
500,ごひゃく,,,UDEMY_N5,3
600,ろっぴゃく,,,UDEMY_N5,3
700,ななひゃく,,,UDEMY_N5,3
800,はっぴゃく,,,UDEMY_N5,3
900,きゅうひゃく,,,UDEMY_N5,3
"1,000",せん,,,UDEMY_N5,3
"2,000",にせん,,,UDEMY_N5,3
"3,000",さんぜん,,,UDEMY_N5,3
"4,000",よんせん,,,UDEMY_N5,3
"5,000",ごせん,,,UDEMY_N5,3
"6,000",ろくせん,,,UDEMY_N5,3
"7,000",ななせん,,,UDEMY_N5,3
"8,000",はっせん,,,UDEMY_N5,3
"9,000",きゅうせん,,,UDEMY_N5,3
"10,000",いちまん,,,UDEMY_N5,3
"30,000",さんまん,,,UDEMY_N5,3
"80,000",はちまん,,,UDEMY_N5,3
"100,000",じゅうまん,,,UDEMY_N5,3
"1,000,000",ひゃくまん,,,UDEMY_N5,3
"10,000,000",せんまん,,,UDEMY_N5,3
"100,000,000",いちおく,,,UDEMY_N5,3
first floor / 1st floor,いっかい,一回,,UDEMY_N5,3
second floor / 2nd floor,にかい,二回,,UDEMY_N5,3
third floor / 3rd floor,さんがい,三回,,UDEMY_N5,3
fourth floor / 4th floor,よんかい,四回,,UDEMY_N5,3
fifth floor / 5th floor,ごかい,五回,,UDEMY_N5,3
sixth floor / 6th floor,ろっかい,六回,,UDEMY_N5,3
seventh floor / 7th floor,ななかい,七回,,UDEMY_N5,3
eight floor / 8th floor,はっかい,八回,,UDEMY_N5,3
ninth floor / 9th floor,きゅうかい,九回,,UDEMY_N5,3
tenth floor / 10th floor,じゅっかい,重回,,UDEMY_N5,3
year,ねん,年,suffix,UDEMY_N5,4
what year,なんねん,何年,,UDEMY_N5,4
this year,ことし,今年,,UDEMY_N5,4
next year,らいねん,来年,,UDEMY_N5,4
last year,きょねん,去年,,UDEMY_N5,4
